W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
350,Пруд. Эффект снега,"The Pond, Snow Effect","La Mare, effet de neige",1875,60 × 81,музей,"Музей Барберини, Потсдам","Museum Barberini, Potsdam",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w350.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Mare%2C_effet_de_neige.jpg,https://www.wikidata.org/wiki/Q113520917,https://monet.1vasiliadi.com/#w350
351,Снег в Аржантёе,Snow at Argenteuil,Neige à Argenteuil,1875,55 × 65,музей,"Национальный музей западного искусства, Токио","National Museum of Western Art, Tokyo",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w351.webp,https://commons.wikimedia.org/wiki/File:Monet_Snow_at_Argenteuil.jpg,https://www.wikidata.org/wiki/Q19013403,https://monet.1vasiliadi.com/#w351
352,Снег в Аржантёе,Snow at Argenteuil,"Rue sous la neige, Argenteuil",1875,71 × 91.5,музей,"Лондонская национальная галерея, Лондон","National Gallery, London",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w352.webp,https://commons.wikimedia.org/wiki/File:Monet_Snow_at_Argenteuil_1875.jpg,https://www.wikidata.org/wiki/Q7548371,https://monet.1vasiliadi.com/#w352
353,Зима в Аржантёе,Winter Effect in Argenteuil,Effets d'hiver à Argenteuil,1875,59 × 80,частная коллекция,,,,,2022,цветная фотография,https://monet.1vasiliadi.com/img/1600/w353.webp,https://commons.wikimedia.org/wiki/File:Effets_d'hiver_%C3%A0_Argenteuil_(1875)_Claude_Monet_(W353).jpg,,https://monet.1vasiliadi.com/#w353
353a,Зима в Аржантёе,Winter Effect in Argenteuil,Effets d'hiver à Argenteuil,1875,50 × 65,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w353a.webp,https://commons.wikimedia.org/wiki/File:Monet_w353a.jpg,,https://monet.1vasiliadi.com/#w353a
354,Прогулка в Аржантёе зимним вечером,The Promenade at Argenteuil on a Winter Evening,"La Promenade d'Argenteuil, un soir d'hiver",1875,59 × 79,частная коллекция,,,Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w354.webp,https://commons.wikimedia.org/wiki/File:The_promenade_at_argenteuil_on_a_winter_evening_w354_monet.jpg,,https://monet.1vasiliadi.com/#w354
355,Въезд в Аржантёй по главной улице. Зима,"The Main Street Entering to Argenteuil, Winter","L'Entrée de la Grande Rue à Argenteuil, l'hiver",1875,55 × 65,музей,"Музей изящных искусств, Лион","Musée des Beaux-Arts de Lyon, Lyon",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w355.webp,https://commons.wikimedia.org/wiki/File:Monet_w355.jpg,,https://monet.1vasiliadi.com/#w355
356,Поезд в снегу,"Train in the Snow, the Locomotive",Le Train dans la neige,1875,59 × 78,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w356.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_1875%2C_Train_in_the_Snow%2C_oil_on_canvas%2C_59_%C3%97_78_cm%2C_Mus%C3%A9e_Marmottan_Monet.jpg,https://www.wikidata.org/wiki/Q50415955,https://monet.1vasiliadi.com/#w356
357,Вид Аржантёя в снегу,View of Argenteuil in the Snow,La Neige à Argenteuil,1875,55 × 74,музей,"Музей искусства и истории, Женева",Museum of Art and History (Geneva),Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w357.webp,https://commons.wikimedia.org/wiki/File:Monet_-_La_Neige_%C3%A0_Argenteuil%2C_1875.png,https://www.wikidata.org/wiki/Q124336209,https://monet.1vasiliadi.com/#w357
357a,"Бульвар Сен-Дени в Аржантёе, снег","Boulevard St-Denis, Argenteuil, Snow Effect","Boulevard Saint-Denis, Argenteuil, en hiver",1875,66 × 81,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w357a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Boulvard_Saint_Denis_in_Argenteuil_im_Winter.jpg,https://www.wikidata.org/wiki/Q20538950,https://monet.1vasiliadi.com/#w357a
358,Вид Аржантёя в снегу,View of Argenteuil in the Snow,Effet de neige à Argenteuil,1875,55 × 68,музей,"Художественный музей Нельсона-Аткинса, Канзас-Сити","Nelson-Atkins Museum of Art, Kansas City",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w358.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Voir_le_d'Argenteuil_(1874-75).jpg,https://www.wikidata.org/wiki/Q64577782,https://monet.1vasiliadi.com/#w358
359,Эффект снега. Бульвар Понтуаз в Аржантёе,"Snow Effect, The Boulevard de Pontoise at Argenteuil","Le Boulevard de Pontoise à Argenteuil, neige",1875,60.5 × 81.5,музей,Художественный музей Базеля,Kunstmuseum Basel,Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w359.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Le_Boulevard_de_Pontoise_%C3%A0_Argenteuil%2C_neige%2C_1875.jpg,https://www.wikidata.org/wiki/Q94636834,https://monet.1vasiliadi.com/#w359
360,Поезд в снегу в Аржантёе,Train in the Snow at Argenteuil,Train dans la neige à Argenteuil,1875,58.5 × 80,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w360.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_360.png,,https://monet.1vasiliadi.com/#w360
361,Иней,White Frost,Gelée blanche,1875,54.5 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w361.webp,https://commons.wikimedia.org/wiki/File:Monet_w361.jpg,,https://monet.1vasiliadi.com/#w361
362,Эффект снега на закате,Snow Effect with Setting Sun,"Effet de neige, soleil couchant",1875,53 × 64,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w362.webp,https://commons.wikimedia.org/wiki/File:Monet_w362.jpg,https://www.wikidata.org/wiki/Q105099565,https://monet.1vasiliadi.com/#w362
363,Иней,Frost,Le givre,1875,60 × 63,музей,"Собрание Хассо Платтнера, Музей Барберини, Потсдам","Hasso Plattner Collection, Museum Barberini, Potsdam",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w363.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_Givre.jpg,https://www.wikidata.org/wiki/Q108479164,https://monet.1vasiliadi.com/#w363
364,Разгрузка угля,Coal Dockers,Les Déchargeurs de charbon,1875,55 × 66,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w364.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Coalmen_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q17493666,https://monet.1vasiliadi.com/#w364
365,Уголок квартиры,A Corner of the Apartment,Un coin d'appartement,1875,60 × 80,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w365.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Un_coin_d'appartement_(52257289689).jpg,https://www.wikidata.org/wiki/Q17495978,https://monet.1vasiliadi.com/#w365
366,Камилла за вышиванием,Camille Embroidering,Madame Monet brodant (Camille au métier),1875,65 × 55,музей,"Фонд Барнса, Филадельфия","Barnes Foundation, Philadelphia",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w366.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_Camille_au_m%C3%A9tier.jpg,https://www.wikidata.org/wiki/Q28128614,https://monet.1vasiliadi.com/#w366
367,Мост в Шату,The Bridge at Chatou,Le Pont d'Argenteuil,1875,60 × 100,музей,"Национальный музей изящных искусств, Буэнос-Айрес","Museo Nacional de Bellas Artes, Buenos Aires",Аргентина,Argentina,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w367.webp,https://commons.wikimedia.org/wiki/File:Le_Pont_d%60_Argenteuil_-_Claude_Monet.jpg,https://www.wikidata.org/wiki/Q27953870,https://monet.1vasiliadi.com/#w367
368,"Прогулочные лодки, Аржантёй","Pleasure Boats, Argenteuil",Bateaux de plaisance à Argenteuil,1875,54 × 65,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w368.webp,https://commons.wikimedia.org/wiki/File:Monet_w368.jpg,,https://monet.1vasiliadi.com/#w368
369,"Красные лодки, Аржантёй","Red Boats, Argenteuil","Bateaux rouges, Argenteuil",1875,60 × 81,музей,"Музей Фогга, Кембридж (Массачусетс)","Fogg Museum, Cambridge",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w369.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Red_Boats%2C_Argenteuil%2C_1875.jpg,https://www.wikidata.org/wiki/Q70781239,https://monet.1vasiliadi.com/#w369
370,Красные лодки в Аржантёе,Red Boats at Argenteuil,Argenteuil,1875,55 × 65,музей,"Музей Оранжери, Париж","Musée de l'Orangerie, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w370.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet's_%22Argenteuil%22_1875.jpg,https://www.wikidata.org/wiki/Q10317575,https://monet.1vasiliadi.com/#w370
371,Порт в Аржантёе,The Port of Argenteuil,Le Bassin d'Argenteuil,1875,54 × 74,частная коллекция,,,,,"Sotheby's, London, 1975",цветная фотография,https://monet.1vasiliadi.com/img/1600/w371.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_Le_bassin_d'Argenteuil_1875.jpg,,https://monet.1vasiliadi.com/#w371
372,Лодки в Аржантёе,Boats at Argenteuil,Bateaux à Argenteuil,1875,61 × 80,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w372.webp,https://commons.wikimedia.org/wiki/File:Monet_w372.jpg,,https://monet.1vasiliadi.com/#w372
373,Сена в Аржантёе,The Seine at Argenteuil,La Seine à Argenteuil,1875,60 × 80,музей,"Дворец Почётного легиона, Сан-Франциско","Legion of Honor, San Francisco",США,United States,2014,цветная фотография,https://monet.1vasiliadi.com/img/1600/w373.webp,https://commons.wikimedia.org/wiki/File:La_Seine_%C3%A0_Argenteuil_(1875)_Claude_Monet_(W_373).jpg,https://www.wikidata.org/wiki/Q106697989,https://monet.1vasiliadi.com/#w373
374,Берег в Пти-Женвилье. Закат,"The Riverbank at Le Petit-Gennevilliers, Sunset","La Berge du Petit-Gennevilliers, soleil couchant",1875,54 × 73,частная коллекция,,,,,2017,скан из каталога,https://monet.1vasiliadi.com/img/1600/w374.webp,https://commons.wikimedia.org/wiki/File:Monet_w374.jpg,,https://monet.1vasiliadi.com/#w374
375,Берег в Пти-Женвилье,The Riverbank at Petit-Gennevilliers,La Berge du Petit-Gennevilliers,1875,61 × 80,частная коллекция,,,,,2011,скан из каталога,https://monet.1vasiliadi.com/img/1600/w375.webp,https://commons.wikimedia.org/wiki/File:Monet_w375.jpg,,https://monet.1vasiliadi.com/#w375
376,Холмы Оржемона,Les Coteaux d'Orgemont,Les Côteaux d'Orgemont,1875,51 × 65.5,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w376.webp,https://commons.wikimedia.org/wiki/File:Monet_w376.jpg,,https://monet.1vasiliadi.com/#w376
377,Лето. Маковое поле,"Summer, Poppy Field",L'été. Champ de coquelicots,1875,60 × 81,частная коллекция,,,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w377.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_L'%C3%A9t%C3%A9_-_Champ_de_coquelicots.JPG,https://www.wikidata.org/wiki/Q50768368,https://monet.1vasiliadi.com/#w377
378,Луг с тополями (Тополя близ Аржантёя),Meadow with Poplars (also known as Poplars near Argenteuil),Champ avec peupliers,1875,54.5 × 65.5,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w378.webp,https://commons.wikimedia.org/wiki/File:Monet_Meadow-with-Poplars-Homepage.jpg,https://www.wikidata.org/wiki/Q20538828,https://monet.1vasiliadi.com/#w378
379,"Прогулка, Аржантёй","La Promenade, Argenteuil",La Promenade,1875,59.5 × 80,музей,"Художественный музей Пола, Хаконе","Pola Museum of Art, Hakone",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w379.webp,https://commons.wikimedia.org/wiki/File:Monet_w379.jpg,https://www.wikidata.org/wiki/Q79790762,https://monet.1vasiliadi.com/#w379
379a,Прогулка. Аржантёй,"The Walk, Argenteuil",En promenade près d'Argenteuil,1875,60 × 81,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w379a.webp,https://commons.wikimedia.org/wiki/File:'En_promenade_pr%C3%A8s_d'Argenteuil'_by_Claude_Monet%2C_1875.jpg,https://www.wikidata.org/wiki/Q50415942,https://monet.1vasiliadi.com/#w379a
